policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,claim_propensity
POL1430,78,FALSE,1,,"Smith, Williams and Frost",2022-01-01,,,,,0,0,0,0
POL1431,99,TRUE,6,CLM1431,"Carr, Osborne and Nunez",2023-06-29,2024-01-07,2024-01-23,Open,Fire,38536.25,7569.64,46105.89,0.62
POL1432,28,FALSE,1,,French-Barnes,2022-10-13,,,,,0,0,0,0
POL1433,20,FALSE,10,,"Mcintyre, Cook and Wright",2020-01-10,,,,,0,0,0,0
POL1434,61,TRUE,7,CLM1434,Cox and Sons,2021-11-21,2022-01-20,2022-02-19,Open,Water Damage,15186.72,522.73,15709.45,0.63
POL1435,96,TRUE,7,CLM1435,"Morales, Anderson and Knight",2021-02-14,2021-06-01,2021-06-27,Open,Fire,4386.17,9335.96,13722.13,0.78
POL1436,71,FALSE,7,,Church-Reynolds,2022-10-03,,,,,0,0,0,0
POL1437,63,TRUE,4,CLM1437,Sanchez-James,2023-06-05,2023-12-09,2023-12-24,Closed,Fire,32479.94,16755.6,49235.54,0.51
POL1438,114,FALSE,1,,Allen-Olson,2021-09-22,,,,,0,0,0,0
POL1439,35,FALSE,8,,"Jones, King and Hill",2021-02-07,,,,,0,0,0,0
POL1440,73,FALSE,8,,"Watson, Johnson and Carr",2022-02-14,,,,,0,0,0,0
POL1441,33,FALSE,2,,Mcdowell-Hill,2022-09-10,,,,,0,0,0,0
POL1442,46,TRUE,6,CLM1442,"Morris, Yates and Maynard",2020-09-12,2021-06-24,2021-07-02,Open,Liability,4199.34,15827.71,20027.05,0.24
POL1443,79,FALSE,10,,Ferguson Inc,2023-03-21,,,,,0,0,0,0
POL1444,65,FALSE,4,,Reeves Inc,2021-08-14,,,,,0,0,0,0
POL1445,89,TRUE,2,CLM1445,Simon-Bray,2020-02-19,2020-09-22,2020-10-04,Open,Water Damage,29295.63,10653.95,39949.58,0.88
POL1446,76,TRUE,9,CLM1446,Middleton-Reeves,2020-12-13,2021-06-08,2021-06-27,Closed,Theft,23167.7,24075.98,47243.68,0.4
POL1447,98,TRUE,9,CLM1447,"Murray, Jackson and Wells",2023-05-11,2024-04-25,2024-05-11,Closed,Water Damage,17870.85,7623.19,25494.04,0.53
POL1448,107,FALSE,1,,Lawrence LLC,2023-12-21,,,,,0,0,0,0
POL1449,33,TRUE,5,CLM1449,"Rodriguez, Richardson and Thomas",2020-12-20,2021-05-22,2021-05-31,Pending,Liability,27563.97,10818.33,38382.3,0.75
POL1450,16,TRUE,10,CLM1450,Miranda-Mccoy,2022-01-10,2022-09-28,2022-10-09,Open,Property Damage,47343.61,22870.99,70214.6,0.23
POL1451,61,TRUE,3,CLM1451,Gonzalez LLC,2020-02-18,2020-11-27,2020-12-09,Closed,Water Damage,42912.15,22467.52,65379.67,0.42
POL1452,48,TRUE,1,CLM1452,Cummings LLC,2022-09-10,2022-12-27,2023-01-06,Open,Fire,28626.8,14435.48,43062.28,0.78
POL1453,85,TRUE,9,CLM1453,James-Williams,2022-05-02,2023-03-25,2023-04-19,Open,Property Damage,6130.79,22564.77,28695.56,0.93
POL1454,72,FALSE,10,,"Reynolds, Fleming and Adams",2021-09-24,,,,,0,0,0,0
POL1455,91,FALSE,8,,"Clark, Anderson and Rodriguez",2023-06-30,,,,,0,0,0,0
POL1456,55,TRUE,5,CLM1456,Martin-Jordan,2023-01-06,2023-04-03,2023-04-06,Pending,Property Damage,4391.87,21479.52,25871.39,0.82
POL1457,93,TRUE,5,CLM1457,Ford-May,2021-07-03,2022-03-06,2022-03-23,Closed,Property Damage,14269.95,6119.41,20389.36,0.03
POL1458,101,TRUE,2,CLM1458,"Becker, Strickland and Gardner",2023-04-25,2024-02-20,2024-03-05,Open,Theft,1243.34,3591.14,4834.48,0.38
POL1459,54,FALSE,2,,"Taylor, Hernandez and Martin",2021-09-06,,,,,0,0,0,0
POL1460,100,FALSE,6,,Fox Group,2023-12-19,,,,,0,0,0,0
POL1461,81,TRUE,9,CLM1461,Yoder-Hanson,2020-08-11,2020-11-09,2020-12-09,Closed,Theft,12133.78,2908.45,15042.23,0.2
POL1462,9,FALSE,10,,Moran-Rogers,2022-12-06,,,,,0,0,0,0
POL1463,75,TRUE,2,CLM1463,Lang Group,2020-06-21,2021-04-16,2021-04-26,Closed,Fire,17763.18,15719.25,33482.43,0.35
POL1464,34,TRUE,8,CLM1464,Nolan-Peterson,2021-03-20,2021-05-31,2021-06-26,Closed,Fire,46817.95,21383.77,68201.72,0.85
POL1465,116,TRUE,8,CLM1465,"Schmitt, Patel and Thomas",2022-06-16,2023-04-04,2023-04-10,Pending,Property Damage,38886.92,10573.44,49460.36,0.82
POL1466,29,FALSE,5,,Rollins-Manning,2022-12-05,,,,,0,0,0,0
POL1467,5,TRUE,6,CLM1467,Young-Melendez,2022-03-14,2023-01-25,2023-02-11,Closed,Fire,23644.04,21827.9,45471.94,0.51
POL1468,42,FALSE,10,,Reed-Fry,2023-01-17,,,,,0,0,0,0
POL1469,84,FALSE,10,,"Torres, Ortiz and Sullivan",2020-03-28,,,,,0,0,0,0
POL1470,98,FALSE,10,,Vega and Sons,2020-05-07,,,,,0,0,0,0
POL1471,107,FALSE,5,,Smith PLC,2020-09-30,,,,,0,0,0,0
POL1472,40,TRUE,5,CLM1472,"Bush, Walls and Holmes",2020-06-11,2021-04-20,2021-04-23,Open,Theft,33121.81,12696.64,45818.45,0.59
POL1473,32,FALSE,1,,"Maxwell, Wolfe and Larson",2020-08-03,,,,,0,0,0,0
POL1474,54,FALSE,10,,"Holden, Rodriguez and Barker",2023-08-15,,,,,0,0,0,0
POL1475,117,FALSE,4,,"Jackson, Miller and Johnson",2021-07-13,,,,,0,0,0,0
POL1476,82,TRUE,3,CLM1476,Stafford Ltd,2020-12-11,2021-08-23,2021-09-22,Pending,Water Damage,19883.88,17983.25,37867.13,0.8
POL1477,32,FALSE,5,,Flores-Lowe,2020-12-09,,,,,0,0,0,0
POL1478,32,FALSE,6,,Silva-King,2023-11-09,,,,,0,0,0,0
POL1479,50,FALSE,8,,Burnett-Perez,2022-04-29,,,,,0,0,0,0
POL1480,63,TRUE,4,CLM1480,Hoffman Inc,2021-10-26,2021-12-08,2021-12-23,Open,Property Damage,30781.67,3164.22,33945.89,0.92
POL1481,88,TRUE,9,CLM1481,"Mccall, Jackson and Carey",2022-08-10,2022-11-19,2022-12-17,Closed,Fire,46306.93,6612.65,52919.58,0.38
POL1482,46,FALSE,10,,Johns PLC,2023-05-28,,,,,0,0,0,0
POL1483,106,FALSE,6,,Franklin-Clark,2020-12-26,,,,,0,0,0,0
POL1484,5,TRUE,1,CLM1484,"Sutton, Baker and Matthews",2021-03-09,2021-07-21,2021-07-25,Closed,Theft,33622.25,16327.89,49950.14,0.66
POL1485,70,FALSE,3,,Jackson-Alexander,2023-10-14,,,,,0,0,0,0
POL1486,90,FALSE,1,,Hendricks Inc,2020-11-04,,,,,0,0,0,0
POL1487,60,FALSE,3,,"Chapman, Cook and Hunter",2022-02-03,,,,,0,0,0,0
POL1488,47,TRUE,6,CLM1488,Williams-Harvey,2023-05-23,2024-01-01,2024-01-12,Open,Property Damage,33335.42,19292.56,52627.98,0.69
POL1489,51,TRUE,6,CLM1489,Whitaker-Henry,2021-10-22,2022-10-20,2022-11-14,Closed,Water Damage,6892.47,3995.64,10888.11,0.35
POL1490,29,TRUE,5,CLM1490,"Long, Baker and Hall",2021-04-30,2021-08-25,2021-09-13,Open,Water Damage,43272.94,546.95,43819.89,0.54
POL1491,62,TRUE,5,CLM1491,Moore-Phelps,2022-09-14,2023-03-31,2023-04-29,Open,Liability,38512.23,22516.19,61028.42,0.83
POL1492,17,FALSE,8,,Bryant Inc,2023-07-28,,,,,0,0,0,0
POL1493,67,FALSE,8,,Long-Benton,2021-12-01,,,,,0,0,0,0
POL1494,70,TRUE,4,CLM1494,"Davis, Olson and Olsen",2021-02-14,2021-12-08,2022-01-07,Pending,Fire,43749.88,16250.83,60000.71,0.16
POL1495,19,FALSE,8,,Thomas-Cain,2021-10-08,,,,,0,0,0,0
POL1496,80,FALSE,4,,Barrett Inc,2021-10-30,,,,,0,0,0,0
POL1497,73,FALSE,6,,"Taylor, Hansen and Smith",2022-11-24,,,,,0,0,0,0
POL1498,47,FALSE,10,,Grant-Campos,2020-09-29,,,,,0,0,0,0
POL1499,59,TRUE,3,CLM1499,Klein-Rodriguez,2021-08-11,2022-07-21,2022-08-12,Closed,Property Damage,35554.8,22455.37,58010.17,0.39
POL1500,116,TRUE,9,CLM1500,Hansen-Baxter,2020-03-18,2020-10-05,2020-10-09,Open,Liability,27742.02,6652.48,34394.5,0.78
POL1501,38,TRUE,10,CLM1501,Brennan-Jennings,2021-04-15,2022-03-28,2022-04-20,Open,Fire,8808.16,20211.98,29020.14,0.6
POL1502,70,FALSE,1,,Perez LLC,2020-12-03,,,,,0,0,0,0
POL1503,99,TRUE,8,CLM1503,Walker-Simpson,2020-10-10,2021-01-26,2021-02-19,Closed,Liability,19998.31,4970.76,24969.07,0.34
POL1504,16,FALSE,10,,"House, Davis and Torres",2021-01-08,,,,,0,0,0,0
POL1505,71,TRUE,3,CLM1505,Perez-Richardson,2023-11-02,2024-04-23,2024-05-07,Open,Fire,2482.64,2279.76,4762.4,0.24
POL1506,58,FALSE,10,,Valencia-Thomas,2020-11-15,,,,,0,0,0,0
POL1507,61,FALSE,10,,Boyle-Newton,2022-09-03,,,,,0,0,0,0
POL1508,99,TRUE,7,CLM1508,Keller-Harrington,2023-01-01,2023-05-13,2023-05-14,Open,Property Damage,6040.83,14224.26,20265.09,0.94
POL1509,46,FALSE,5,,Cruz-Anderson,2022-03-13,,,,,0,0,0,0
POL1510,1,FALSE,3,,Morales PLC,2021-09-05,,,,,0,0,0,0
POL1511,103,FALSE,5,,Perez-Fletcher,2020-12-18,,,,,0,0,0,0
POL1512,29,TRUE,7,CLM1512,"Moon, Reynolds and Howard",2021-11-12,2022-10-17,2022-11-08,Pending,Theft,36563.96,16633.07,53197.03,0.75
POL1513,5,FALSE,8,,Saunders-Klein,2021-07-09,,,,,0,0,0,0
POL1514,33,FALSE,6,,Delacruz-Castillo,2020-03-18,,,,,0,0,0,0
POL1515,105,FALSE,1,,Martinez-Moore,2020-10-30,,,,,0,0,0,0
POL1516,13,TRUE,10,CLM1516,Paul LLC,2022-10-11,2023-03-10,2023-03-26,Closed,Property Damage,13344.93,12994.97,26339.9,0.67
POL1517,88,TRUE,5,CLM1517,Perez-Becker,2022-10-24,2023-01-10,2023-01-24,Closed,Theft,16661.55,3102.43,19763.98,0.49
POL1518,80,FALSE,7,,Marshall-Murray,2021-12-05,,,,,0,0,0,0
POL1519,53,TRUE,2,CLM1519,"Poole, Walker and Ross",2020-11-14,2021-08-22,2021-09-05,Closed,Fire,22588.23,4264.27,26852.5,0.44
POL1520,110,TRUE,5,CLM1520,Tucker-Edwards,2021-08-24,2021-11-24,2021-12-17,Closed,Theft,4756.72,1103.53,5860.25,0.13
POL1521,118,TRUE,4,CLM1521,"Smith, Ruiz and Long",2022-01-19,2022-04-05,2022-04-17,Closed,Fire,17893.16,12538.47,30431.63,0.4
POL1522,97,FALSE,1,,Hoover Group,2023-08-30,,,,,0,0,0,0
POL1523,99,TRUE,10,CLM1523,Johnston Inc,2023-11-16,2024-03-08,2024-04-06,Pending,Water Damage,16093.34,23087.73,39181.07,0
POL1524,58,FALSE,6,,Davis-Gonzalez,2021-01-23,,,,,0,0,0,0
POL1525,85,FALSE,10,,White-White,2020-11-04,,,,,0,0,0,0
POL1526,39,FALSE,9,,"Diaz, Hall and Williams",2020-11-26,,,,,0,0,0,0
POL1527,52,TRUE,7,CLM1527,Nichols-Anderson,2022-03-30,2022-05-12,2022-06-05,Closed,Water Damage,30353.85,10661.7,41015.55,0.25
POL1528,100,TRUE,9,CLM1528,"Obrien, Gaines and Miller",2020-05-29,2020-09-26,2020-10-23,Pending,Property Damage,47026.97,3363.17,50390.14,0.82
POL1529,93,TRUE,8,CLM1529,Gonzalez-Smith,2021-05-18,2021-07-22,2021-08-21,Pending,Water Damage,48934.28,16257.29,65191.57,0.4
POL1530,97,TRUE,5,CLM1530,"Mathis, Jones and Thompson",2023-01-14,2024-01-03,2024-01-18,Pending,Fire,24576.24,14361.97,38938.21,0.33
POL1531,73,FALSE,2,,Perez Group,2023-10-28,,,,,0,0,0,0
POL1532,75,FALSE,9,,Wells-Smith,2023-06-05,,,,,0,0,0,0
POL1533,75,TRUE,2,CLM1533,James Inc,2022-10-03,2023-03-09,2023-04-03,Pending,Liability,14064.04,16069.26,30133.3,0.29
POL1534,92,TRUE,5,CLM1534,"Blevins, Johnson and Reed",2020-07-18,2021-03-13,2021-04-10,Closed,Property Damage,18436.09,7285.49,25721.58,0.1
POL1535,28,TRUE,7,CLM1535,Wilcox-Byrd,2022-01-09,2022-12-04,2022-12-10,Open,Liability,33992.77,16485.62,50478.39,0.71
POL1536,15,TRUE,6,CLM1536,"Taylor, Holmes and King",2021-06-12,2021-12-22,2022-01-10,Closed,Fire,46660.21,6742.52,53402.73,0.31
POL1537,17,FALSE,5,,Espinoza LLC,2020-06-02,,,,,0,0,0,0
POL1538,101,TRUE,3,CLM1538,Schwartz PLC,2023-05-21,2024-03-17,2024-04-07,Open,Water Damage,25029.19,21392.21,46421.4,0.21
POL1539,70,TRUE,4,CLM1539,"Taylor, Clark and Daugherty",2020-09-28,2020-11-25,2020-12-07,Closed,Water Damage,23705.67,16143.58,39849.25,0.28
POL1540,120,FALSE,6,,Harris-Romero,2022-12-29,,,,,0,0,0,0
POL1541,24,TRUE,1,CLM1541,Hansen Ltd,2022-03-13,2022-07-21,2022-08-20,Pending,Water Damage,4977.1,3474.61,8451.71,0.94
POL1542,92,TRUE,9,CLM1542,Martinez-Barry,2021-06-14,2022-05-23,2022-06-17,Closed,Property Damage,37848.5,6164.81,44013.31,0.49
POL1543,13,FALSE,7,,White-Kelley,2021-02-14,,,,,0,0,0,0
POL1544,6,FALSE,8,,Butler Group,2023-05-20,,,,,0,0,0,0
POL1545,3,TRUE,9,CLM1545,Cunningham LLC,2021-11-29,2022-09-28,2022-10-22,Open,Water Damage,6770.94,20696.4,27467.34,0.06
POL1546,110,TRUE,3,CLM1546,Chavez LLC,2023-08-08,2024-02-02,2024-02-04,Open,Liability,16514.58,8451.64,24966.22,0.55
POL1547,14,TRUE,6,CLM1547,Rowe-Jenkins,2021-10-24,2022-04-19,2022-04-29,Pending,Property Damage,18629.14,6132.66,24761.8,0.94
POL1548,4,FALSE,6,,Cummings-Smith,2020-02-02,,,,,0,0,0,0
POL1549,60,FALSE,10,,Benjamin-Rowe,2021-02-10,,,,,0,0,0,0
POL1550,57,FALSE,3,,Jordan LLC,2023-09-29,,,,,0,0,0,0
POL1551,99,TRUE,4,CLM1551,Alvarez-Perez,2023-09-20,2024-05-28,2024-05-31,Closed,Water Damage,35068.95,12824.88,47893.83,0.96
POL1552,44,TRUE,1,CLM1552,Ward-Tucker,2023-01-12,2023-08-28,2023-09-09,Closed,Fire,38838.14,13107.01,51945.15,0.8
POL1553,77,FALSE,1,,Novak PLC,2022-01-15,,,,,0,0,0,0
POL1554,36,FALSE,9,,"Miller, Evans and Holmes",2022-11-17,,,,,0,0,0,0
POL1555,97,TRUE,9,CLM1555,"Martinez, Brown and Cooper",2022-07-17,2023-04-05,2023-04-28,Pending,Fire,45879.16,11897.05,57776.21,0.16
POL1556,74,FALSE,1,,Berg-Trujillo,2021-07-12,,,,,0,0,0,0
POL1557,51,TRUE,2,CLM1557,Myers-Lopez,2023-01-31,2023-04-15,2023-04-21,Closed,Liability,37688.29,3305.65,40993.94,0.23
POL1558,38,FALSE,3,,Lee-Myers,2021-05-27,,,,,0,0,0,0
POL1559,112,TRUE,3,CLM1559,Barron-Fleming,2020-12-22,2021-08-07,2021-08-19,Open,Property Damage,18091.49,2255.58,20347.07,0.21
POL1560,23,FALSE,7,,"Lopez, Murphy and Stone",2021-03-08,,,,,0,0,0,0
POL1561,57,TRUE,5,CLM1561,"Marquez, Wheeler and Hamilton",2021-10-16,2022-04-28,2022-05-06,Closed,Liability,12589.39,23243.49,35832.88,0.18
POL1562,42,FALSE,4,,"Barker, Snyder and Alvarado",2022-11-01,,,,,0,0,0,0
POL1563,48,TRUE,9,CLM1563,George Inc,2022-01-11,2022-12-19,2023-01-15,Open,Water Damage,28790.5,12825.84,41616.34,0.47
POL1564,76,FALSE,10,,Freeman PLC,2023-05-06,,,,,0,0,0,0
POL1565,115,TRUE,9,CLM1565,Peters-Gonzalez,2021-01-26,2021-08-11,2021-08-21,Open,Property Damage,2184.06,10085.22,12269.28,0.74
POL1566,26,TRUE,1,CLM1566,Brown and Sons,2021-10-29,2022-01-25,2022-02-02,Pending,Fire,43006.74,12468.23,55474.97,0.74
POL1567,40,FALSE,8,,Sawyer-Bishop,2020-04-16,,,,,0,0,0,0
POL1568,37,FALSE,4,,"Cohen, Atkins and Todd",2022-07-14,,,,,0,0,0,0
POL1569,81,TRUE,7,CLM1569,Middleton-Walters,2022-11-05,2023-03-16,2023-04-04,Closed,Property Damage,37953.07,10169.57,48122.64,0.46
POL1570,114,TRUE,7,CLM1570,Mcclure-Morgan,2021-09-13,2022-03-01,2022-03-24,Pending,Fire,27222.5,23026.02,50248.52,0.73
POL1571,104,FALSE,5,,"Lee, Watson and Bridges",2021-06-23,,,,,0,0,0,0
POL1572,46,TRUE,6,CLM1572,"Kim, Gonzales and Alvarado",2022-12-19,2023-01-22,2023-02-20,Open,Water Damage,7696.02,20446.84,28142.86,0.99
POL1573,98,TRUE,7,CLM1573,Jones-Robinson,2023-12-01,2024-03-06,2024-03-25,Open,Fire,1157.99,15133.26,16291.25,0.96
POL1574,120,TRUE,2,CLM1574,Walton Group,2020-06-02,2020-12-19,2020-12-21,Closed,Water Damage,33899.69,1843.7,35743.39,0.09
POL1575,77,TRUE,5,CLM1575,Zimmerman-Clark,2020-09-17,2020-11-12,2020-11-19,Pending,Water Damage,35266.33,21783.14,57049.47,0.79
POL1576,82,TRUE,8,CLM1576,Padilla-Smith,2022-08-03,2022-11-06,2022-11-15,Open,Fire,29016.4,11802,40818.4,0.12
POL1577,120,TRUE,1,CLM1577,Miller Group,2023-11-10,2024-02-15,2024-02-24,Closed,Property Damage,26248.37,22541.73,48790.1,0.5
POL1578,42,TRUE,9,CLM1578,"Hudson, Gibbs and Fernandez",2021-04-28,2022-01-16,2022-02-15,Pending,Fire,31321.45,15348.57,46670.02,0.61
POL1579,89,FALSE,9,,"Smith, Ferrell and Taylor",2020-04-27,,,,,0,0,0,0
POL1580,14,TRUE,9,CLM1580,"Knox, Parker and Stephens",2023-08-15,2024-04-28,2024-05-15,Closed,Theft,48500.42,14597.18,63097.6,0.11
POL1581,18,TRUE,10,CLM1581,Miller Ltd,2022-05-07,2023-05-04,2023-05-25,Open,Liability,5197.62,2439.04,7636.66,0.38
POL1582,63,TRUE,1,CLM1582,Goodwin-Harris,2020-03-26,2020-07-21,2020-07-23,Pending,Fire,33326.27,10777.87,44104.14,0.58
POL1583,28,TRUE,4,CLM1583,"Todd, Collins and Mcgee",2021-05-04,2021-11-01,2021-12-01,Closed,Liability,5079.4,10401.51,15480.91,0.86
POL1584,76,TRUE,8,CLM1584,Austin Inc,2021-09-26,2022-09-06,2022-09-07,Pending,Liability,27352.03,11279.97,38632,0.06
POL1585,23,TRUE,1,CLM1585,"Boyer, Hunt and Hernandez",2021-02-09,2021-10-14,2021-10-30,Closed,Liability,7808.24,10981.07,18789.31,0.45
POL1586,111,FALSE,2,,Rodriguez-West,2020-07-29,,,,,0,0,0,0
POL1587,14,FALSE,5,,Reyes Ltd,2023-10-28,,,,,0,0,0,0
POL1588,21,TRUE,3,CLM1588,"Pennington, Perez and Lawrence",2021-10-03,2021-11-23,2021-12-14,Closed,Property Damage,10993.83,16556.8,27550.63,0.79
POL1589,50,TRUE,10,CLM1589,Williams LLC,2022-12-06,2023-05-12,2023-06-08,Closed,Liability,34058.21,716.48,34774.69,0.15
POL1590,93,FALSE,6,,"Silva, Washington and Moses",2022-04-03,,,,,0,0,0,0
POL1591,53,FALSE,8,,"Mendoza, Flores and Daniel",2023-08-13,,,,,0,0,0,0
POL1592,98,TRUE,4,CLM1592,Wilson PLC,2021-01-13,2021-03-30,2021-04-15,Pending,Fire,20609.4,2841.2,23450.6,0.66
POL1593,8,FALSE,9,,"Walls, Anderson and Thomas",2020-02-14,,,,,0,0,0,0
POL1594,110,FALSE,5,,Wilson Group,2020-02-25,,,,,0,0,0,0
POL1595,68,TRUE,5,CLM1595,Johnson LLC,2020-07-28,2020-10-11,2020-10-18,Closed,Theft,34326.83,5915.59,40242.42,0.07
POL1596,48,FALSE,1,,Cruz-Cooper,2021-05-23,,,,,0,0,0,0
POL1597,105,FALSE,5,,Jensen-Walsh,2023-04-11,,,,,0,0,0,0
POL1598,107,FALSE,3,,"Summers, Weaver and Morgan",2022-09-28,,,,,0,0,0,0
POL1599,90,TRUE,9,CLM1599,"Smith, Odonnell and Weiss",2023-12-30,2024-03-02,2024-03-11,Closed,Water Damage,10643.86,503.05,11146.91,0.23
