IDENTIFIER,NAME,GENDER,EMAIL,BIRTHDATE,NATIONALITY,LANGUAGE,BLOOD_TYPE,HEIGHT,WEIGHT,UNIVERSITY,ACADEMIC_DEGREE,TITLE,OCCUPATION
14-58/12,Paris R,Female,alexander1800@outlook.com,29-Jun,Venezuelan,Indonesian,B−,1.77,50,Atlanta Metropolitan State College,PhD,Mrs.,Counsellor
31-33/50,Blake G,Female,say1962@outlook.com,21-Oct,Russian,Irish Gaelic,B−,1.79,62,South Georgia State College (SGSC),Master,D.Ed.,Chicken Chaser
12-41/10,Leontine R,Male,academic2067@protonmail.com,24-Dec,Venezuelan,Icelandic,A+,1.52,68,Bainbridge State College,Bachelor,M.A.,Loss Assessor
3/27/72,Raymond G,Male,competitions2072@duck.com,7-Apr,Cuban,Tswana,AB+,1.83,63,Albany State University,PhD,Master,Civil Servant
06-50/91,Shonta M,Other,average1937@gmail.com,2-Jun,Cuban,Nepali,A+,1.95,51,University of Massachusetts Lowell (UMass Lowell),Bachelor,Ms.,Packer
68-13/25,Cherish M,Female,ethics1943@yahoo.com,31-Jan,Mexican,Papiamento,A+,1.84,64,Murray State University,Master,D.Ed.,Wheel Clamper
47-92/62,Napoleon M,Male,pieces1812@example.org,21-Dec,Spanish,Bosnian,B+,1.76,47,Kennesaw State University,PhD,EdD,Hot Foil Printer
70-57/63,Harry M,Female,cop2013@yandex.com,26-Nov,British,Malayalam,B+,1.76,44,Florida International University (FIU),Bachelor,Madam,Horse Dealer
22-75/63,Amal C,Other,toolkit1926@yandex.com,8-Dec,Danish,English,AB+,1.88,74,Framingham State University,Master,DPhil,Piano Teacher
52-09/61,Cliff P,Other,pest1895@gmail.com,30-Oct,Salvadorian,Ndebele,AB+,1.55,63,Massachusetts Maritime Academy,Master,M.Des,Laminator
10/8/26,Milan A,Other,nutritional1879@gmail.com,28-Aug,Swedish,Hungarian,O+,1.94,41,"University of California, Santa Cruz (UC Santa Cruz)",PhD,PhD,Plumber
43-27/42,Delcie H,Male,structured1901@live.com,30-Sep,Danish,Gujarati,A−,1.88,58,Massachusetts College of Art and Design (MassArt),PhD,PhD,Marine Broker
63-19/55,Mason M,Female,multiple1910@duck.com,2-Apr,Guatemalan,Guaraní,O−,1.97,79,Georgia Gwinnett College,Master,Master,Bus Driver
43-10/79,Darrick M,Female,trinity1942@yandex.com,24-May,Cambodian,Khmer,B−,1.66,89,Westfield State University,Bachelor,Dr.,Matron
91-05/37,Karyl D,Female,landscape2050@yandex.com,3-Jan,Colombian,Fijian,B−,1.81,74,Augusta University,Master,Mr.,Yard Manager
75-79/68,Marc L,Male,stationery1882@example.com,21-Feb,French,Afrikaans,AB+,1.75,54,"California State University, Channel Islands (CSUCI or CI)",PhD,M.Eng.,Hospital Consultant
61-09/13,Gerald M,Male,paperback1815@example.org,7-Oct,Dutch,Belarusian,AB−,1.69,84,Western Kentucky University (WKU),PhD,Master,Video Artist
26-26/82,Renay W,Other,twins2098@example.com,22-Apr,Israeli,Quechua,B+,1.98,87,"California State University, East Bay (CSUEB)",Bachelor,Sir,Building Engineer
07-56/72,Francisco O,Female,snowboard2034@example.org,26-Jan,Saudi,Moldovan,AB+,1.98,62,Central Connecticut State University (CCSU),PhD,B.Sc,Investigator
18-23/80,Gustavo A,Female,adapters1865@example.org,27-Aug,Russian,Gagauz,A+,1.84,64,Albany State University,Master,Miss,Line Manager
35-87/44,Yun P,Other,nudist1893@example.com,14-Aug,Argentinian,German,O+,1.73,58,University of Central Florida (UCF),Master,EdD,HGV Mechanic
81-87/17,Mikki N,Other,accessory2092@example.com,9-Nov,Irish,Chinese,O+,1.55,77,Abraham Baldwin Agricultural College,PhD,EdD,Vehicle Assessor
36-81/40,Anthony R,Female,accent1936@outlook.com,10-Apr,Bolivian,Sotho,B+,1.89,59,University of Massachusetts Amherst (UMass Amherst),Master,Miss,Proof Reader
68-64/90,Conception H,Female,liverpool2069@live.com,21-Jun,Venezuelan,Icelandic,O−,1.61,82,University of West Georgia (UWG),Bachelor,LL.D,Blind Fitter
17-03/79,Glynda N,Other,antiques1848@example.com,6-Sep,French,Fijian,A+,1.64,79,Framingham State University,Master,MMath,Assistant Cook
94-52/06,Quinton R,Other,farming1927@gmail.com,12-Nov,Canadian,Guaraní,A−,1.57,49,Atlanta Metropolitan State College,Bachelor,D.Ed.,Stone Cutter
50-19/85,Percy L,Female,conducting1869@example.com,31-May,Estonian,Northern Sotho,AB−,1.63,87,Clayton State University,Bachelor,MMath,Training Instructor
29-36/43,Bryant B,Other,sexuality1885@duck.com,3-Jan,Colombian,Persian,A+,1.88,51,Georgia State University (GSU),PhD,Master,Messenger
56-01/92,Rodolfo S,Other,convinced1957@example.org,15-Nov,Jordanian,Filipino,O+,1.62,85,Georgia College and State University,PhD,Ms.,Florist
53-18/10,Hilario H,Male,similar2006@live.com,24-Dec,Spanish,Aymara,A+,1.51,62,Georgia State University (GSU),Bachelor,Sir,Sales Assistant
62-01/94,Armanda B,Other,southern1955@outlook.com,29-Aug,Ethiopian,Luxembourgish,AB+,1.59,46,"University of California, Irvine (UC Irvine)",Master,Mrs.,Sail Maker
70-38/29,Tony B,Male,successfully1880@gmail.com,13-May,Brazilian,Papiamento,O+,1.99,82,"University of California, Santa Barbara (UC Santa Barbara)",Master,Master,Training Assistant
07-77/44,Frank Y,Female,lobby1906@example.com,8-May,French,Romanian,O+,1.81,56,New College of Florida,Master,Ms.,Sail Maker
57-28/30,Drew H,Other,medieval2032@live.com,7-Jul,Iranian,West Frisian,AB+,1.81,68,Eastern Connecticut State University (ECSU),Bachelor,D.Ed.,Undertaker
34-61/14,Refugio H,Other,onion1893@example.org,5-Aug,Costa Rican,Montenegrin,AB+,1.93,77,Kennesaw State University,PhD,Miss,Graphic Designer
93-31/16,Ladawn M,Male,nut1990@gmail.com,11-Dec,Australian,Yiddish,O+,1.67,43,University of Massachusetts Lowell (UMass Lowell),PhD,MMath,Tutor
43-25/03,Barton A,Female,bag1844@yandex.com,8-Jan,Swiss,Arabic,AB+,1.55,45,Massachusetts College of Liberal Arts,Master,Miss,Pawnbroker
62-20/24,Irish H,Female,walnut1954@example.org,25-Jul,Iranian,Swedish,O−,1.58,54,University of North Georgia (UNG),Bachelor,Miss,Horticultural Consultant
54-08/92,Calista H,Other,peaceful1826@live.com,8-Jul,Russian,Malay,A+,1.67,41,Bridgewater State University,Bachelor,M.D.,Chartered Accountant
23-57/47,Kaycee F,Male,cambodia2047@gmail.com,21-Mar,Portuguese,Armenian,A+,1.52,60,Massachusetts Maritime Academy,Master,B.A.,Wood Carver
53-98/26,Rea W,Female,mil2037@live.com,14-Dec,Belgian,Dutch,O−,1.76,64,Florida State University (FSU),Bachelor,Sir,Hygienist
32-11/08,Temika H,Other,andorra1826@outlook.com,2-Apr,Cameroonian,Russian,O−,1.97,88,"California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)",Master,Sir,Podiatrist
39-54/05,Leonardo G,Other,despite2020@live.com,2-Jan,Costa Rican,Latvian,B+,1.81,83,Florida A&M University (Florida A&M),PhD,Sir,Market Researcher
46-09/51,Marvis A,Female,senior1867@example.org,30-Mar,Ecuadorian,Italian,AB−,1.55,48,Albany State University,PhD,LL.D,Heating Engineer
32-60/19,Shani D,Female,coach1938@example.org,5-Sep,Finnish,Catalan,O+,1.74,41,"University of Louisville (Louisville, U of L, or UL)",PhD,M.Des,Audiologist
39-49/22,Brittaney M,Male,volkswagen1913@duck.com,22-Jul,Costa Rican,Japanese,AB−,1.85,71,University of Central Florida (UCF),Bachelor,LL.D,Training Instructor
85-65/36,Magan H,Female,bunch1908@example.com,13-Jan,Puerto Rican,Gujarati,AB−,1.88,39,Southern Connecticut State University (SCSU),PhD,Mr.,Jewellery
21-33/98,Shaunna C,Other,speeds1898@outlook.com,26-Jun,Polish,Georgian,B−,1.61,64,Eastern Connecticut State University (ECSU),Bachelor,MMath,Store Detective
71-87/55,Forrest D,Male,interpreted2055@live.com,10-Apr,Portuguese,French,O−,1.76,85,Framingham State University,PhD,B.E.,Van Driver
84-84/87,Alfred A,Other,animals1867@live.com,29-Aug,Ethiopian,Italian,O−,1.82,83,"University of California, Santa Cruz (UC Santa Cruz)",Bachelor,M.Des,English Teacher
34-60/38,Hisako P,Other,varying1868@example.org,29-Jul,Argentinian,Armenian,B−,1.58,75,University of Florida (UF),PhD,Prof.,Merchant Seaman
44-35/27,Willis F,Male,breakdown1873@live.com,2-Sep,Canadian,Dutch,A−,1.9,68,University of Massachusetts Dartmouth (UMass Dartmouth),PhD,M.Eng.,Tractor Driver
24-72/85,Alonso B,Male,edition1983@protonmail.com,6-Jan,Cuban,Chinese,B+,1.55,54,Valdosta State University (VSU),Master,DPhil,Money Broker
21-30/04,Brynn M,Other,matters1804@protonmail.com,2-Nov,Bolivian,Guaraní,B+,1.83,61,Florida International University (FIU),Bachelor,M.Des,Gate Keeper
06-63/40,Donovan W,Female,myspace2065@duck.com,25-Sep,Greek,Aymara,B−,1.8,89,University of Massachusetts Lowell (UMass Lowell),Bachelor,MSc,Television Producer
23-68/00,Alia T,Other,workshops2091@live.com,3-Jun,Romanian,Japanese,A−,1.58,64,"University of California, Berkeley (UC Berkeley)",PhD,Mr.,Writer
66-97/29,Julius N,Male,reading2008@example.org,6-Mar,Irish,Bengali,A−,1.84,43,Georgia Gwinnett College,PhD,Sir,Marine Surveyor
92-38/10,Tonette G,Other,institutions2048@gmail.com,23-Apr,Danish,Oriya,A+,1.57,49,Middle Georgia State University,Bachelor,LL.D,Stone Sawyer
81-94/37,Jerold P,Male,spaces1892@yandex.com,11-Jan,Egyptian,Punjabi,B+,1.82,65,"California State University, Chico (Chico State)",Master,Master,Tax Inspector
90-40/26,Courtney B,Other,buffalo2097@gmail.com,7-Jul,Mexican,Tajik,A+,1.7,52,University of Massachusetts Lowell (UMass Lowell),PhD,Mrs.,Transport Officer
65-05/86,Maxima K,Male,inappropriate1830@gmail.com,8-Oct,Dutch,Aymara,B+,1.63,85,"University of California, Santa Cruz (UC Santa Cruz)",Master,Dr.,Engineer
39-73/58,Murray M,Female,asp1848@yandex.com,26-Mar,Italian,Moldovan,B−,1.91,77,Western Kentucky University (WKU),Bachelor,Mrs.,Scrap Dealer
36-29/99,Shavonda C,Male,joined1930@gmail.com,1-Aug,Greek,Polish,B+,1.96,38,Framingham State University,Bachelor,Mrs.,Heating Engineer
99-13/96,Eldon M,Female,korea1899@outlook.com,8-Apr,Salvadorian,Khmer,O+,1.84,61,University of Massachusetts Lowell (UMass Lowell),PhD,B.E.,Gravel Merchant
45-18/89,Marhta L,Other,intranet2022@protonmail.com,21-Sep,Danish,Polish,A+,1.71,76,South Georgia State College (SGSC),Bachelor,Mrs.,Project Manager
75-20/87,Bernardo J,Other,experiences2070@example.com,8-Feb,Dutch,Croatian,A−,1.97,76,Valdosta State University (VSU),Bachelor,M.A.,Patrolman
68-62/90,Jeni M,Male,gsm2096@live.com,4-May,Romanian,Māori,O+,1.99,46,Florida State University (FSU),PhD,B.E.,Care Manager
98-38/79,Cody A,Male,washing2082@outlook.com,11-Dec,Australian,Zulu,AB+,1.99,59,University of West Georgia (UWG),Bachelor,Mrs.,Building Manager
24-58/11,Bradley B,Female,subtle1995@duck.com,16-Sep,Latvian,Chinese,A−,1.94,75,University of Massachusetts Boston (UMass Boston),Master,B.E.,Aromatherapist
03-73/47,Dewey S,Female,morgan1977@yandex.com,11-Apr,Belgian,Russian,A+,1.69,51,"California State University, Dominguez Hills (CSUDH)",PhD,Mr.,Transport Manager
40-41/89,Lester H,Other,por1994@gmail.com,30-Jul,Uruguayan,Moldovan,B−,1.87,46,Georgia College and State University,Master,Mr.,Storewoman
90-91/56,Alberto H,Other,monitored1902@example.com,11-Jun,Dominican,Lao,B+,1.73,61,University of Massachusetts Medical School,PhD,Mr.,Physiologist
46-21/60,Craig R,Female,analog2010@duck.com,4-Jun,Portuguese,Bislama,O−,2,75,Albany State University,Master,Madam,Adjustor
45-66/73,Lawrence W,Male,revised1806@outlook.com,21-Jan,English,Tetum,O+,1.68,76,University of Central Florida (UCF),Master,Miss,Advertising Assistant
12-51/78,Winston M,Male,tournament2040@gmail.com,16-Dec,Italian,Gujarati,A+,1.92,41,University of South Florida (USF),PhD,PhD,Stonemason
69-39/29,Meggan L,Male,preferences1930@protonmail.com,7-Jun,Finnish,Hiri Motu,B+,1.85,56,Albany State University,Master,Madam,Ledger Clerk
01-53/51,Britt M,Other,knock1927@outlook.com,13-Feb,Mexican,Pashto,A−,1.64,47,"California State University, Fresno (Fresno State)",Bachelor,Mr.,Meter Reader
80-15/30,Tory C,Male,reasons2080@yandex.com,31-Mar,Uruguayan,Montenegrin,A+,1.63,71,Murray State University,PhD,Sir,Building Surveyor
34-94/88,Margrett G,Male,median1891@gmail.com,11-Oct,Uruguayan,Khmer,AB+,1.58,65,Fitchburg State University,Bachelor,Prof.,Occupations
06-47/93,Alejandro S,Female,favorites1820@example.org,16-Jun,Colombian,Gujarati,A+,1.96,56,Gordon State College,PhD,Sir,Cab Driver
84-67/40,Ranae S,Other,vacancies1963@example.com,15-Nov,Latvian,Maltese,AB−,1.71,73,Valdosta State University (VSU),Bachelor,M.Des,Windscreen Fitter
33-88/88,Glen B,Female,corrected1920@yahoo.com,6-Feb,Dominican,West Frisian,O−,1.89,50,"California State University, East Bay (CSUEB)",PhD,Miss,Tax Consultant
57-39/92,Hisako W,Male,divisions2016@protonmail.com,15-May,Spanish,Quechua,B−,1.99,74,University of Massachusetts Dartmouth (UMass Dartmouth),Master,M.Des,Architect
18-17/68,Refugio P,Other,six1957@yahoo.com,20-Nov,Ethiopian,Tajik,B+,1.99,70,Westfield State University,Bachelor,MMath,Purchasing Assistant
27-75/69,Lou C,Female,aluminium1968@example.org,19-Feb,Canadian,Aymara,O+,1.69,79,Florida A&M University (Florida A&M),PhD,Mr.,Medical Assistant
33-44/94,Walton A,Other,coordinator1980@yahoo.com,20-Nov,Chinese,Malay,AB−,1.85,42,Clayton State University,Bachelor,B.A.,Production Manager
49-21/72,Bryce P,Female,dealing2057@protonmail.com,29-Mar,Puerto Rican,Quechua,A−,1.69,62,"California State University, Channel Islands (CSUCI or CI)",Bachelor,Ms.,Paramedic
93-31/43,Elroy F,Female,northeast1988@example.org,12-Jan,Polish,Estonian,A−,1.99,48,Georgia College and State University,Bachelor,M.D.,Assessor
00-54/13,Voncile B,Female,sprint1945@outlook.com,3-Sep,Salvadorian,Burmese,AB−,1.7,53,Florida International University (FIU),PhD,Ms.,Cellarman
58-26/25,Graham W,Female,fist2004@gmail.com,8-Aug,Jordanian,Dhivehi,A+,1.72,89,"University of California, Santa Barbara (UC Santa Barbara)",Master,Sir,Publisher
93-57/54,Mac J,Other,original1965@duck.com,13-Mar,Latvian,Norwegian,A+,1.5,49,Western Connecticut State University (WCSU),Bachelor,M.A.,Marine Consultant
43-48/96,Madelaine H,Other,wood1823@live.com,24-Nov,Afghan,Khmer,A+,1.6,77,Florida State University (FSU),Bachelor,D.Ed.,Telemarketeer
54-98/55,Treasa P,Female,tried1867@outlook.com,3-Dec,French,Swahili,O−,1.72,68,University of Georgia (UGA),Master,B.Sc,Plastics Consultant
61-88/57,Ashli P,Male,percentage1956@gmail.com,10-Feb,Puerto Rican,Portuguese,AB−,1.56,38,Kentucky State University,Bachelor,Miss,Goods Handler
86-13/06,Jefferson P,Male,navy2084@protonmail.com,15-May,Polish,Aymara,B−,1.78,70,University of Florida (UF),Bachelor,Ms.,Receptionist
06-75/80,Dwight T,Other,indexes2093@protonmail.com,22-Sep,Salvadorian,Tamil,B−,1.63,48,Massachusetts College of Art and Design (MassArt),Bachelor,M.D.,Sheriff Clerk
81-79/90,Penni M,Other,changed2007@yahoo.com,1-Jun,Guatemalan,Filipino,B−,1.89,84,Albany State University,Bachelor,M.Eng.,Stock Manager
02-55/46,Chance C,Female,chicks1881@duck.com,29-Apr,Mexican,Gujarati,O−,1.72,64,Georgia Highlands College,Bachelor,Sir,Care Manager
72-18/14,Dennis C,Male,set1995@example.org,10-Dec,Argentinian,Italian,B+,1.72,73,Augusta University,PhD,Miss,Weighbridge Clerk
27-98/84,Shu M,Male,sans1938@example.org,31-Mar,Argentinian,Malay,B+,1.62,69,Georgia State University (GSU),Master,M.Des,Nursery Assistant
25-22/67,Calvin M,Female,cinema2083@example.org,7-Jun,British,Albanian,A+,1.76,55,New College of Florida,Master,Miss,Marketing Director
35-84/11,Jean M,Male,stored1915@example.com,27-Sep,Irish,Moldovan,B+,1.53,54,University of Georgia (UGA),Master,Miss,Cabinet Maker
99-33/03,Concha G,Female,defects1939@gmail.com,6-Apr,Finnish,Kyrgyz,AB+,1.82,53,Middle Georgia State University,PhD,Sir,Laundry Staff
81-97/89,Franklin L,Other,attention2002@gmail.com,24-Aug,Spanish,Haitian Creole,AB−,1.92,57,"University of California, San Diego (UC San Diego)",Bachelor,Ms.,Steel Erector
69-68/20,Lynetta C,Female,headlines1878@example.com,19-Sep,Colombian,Telugu,A−,1.94,61,"University of California, Berkeley (UC Berkeley)",Master,M.A.,Building Surveyor
71-07/62,Rhett W,Other,structured1834@example.org,14-May,Mexican,Hiri Motu,B+,1.94,78,Abraham Baldwin Agricultural College,Master,M.Eng.,Shipping Clerk
42-49/71,Gale M,Female,threaded2089@outlook.com,10-May,Guatemalan,Tswana,A−,1.63,52,Dalton State College,PhD,Mrs.,Bodyguard
3/24/08,Dan S,Female,immigration2044@outlook.com,4-Jul,Swedish,Greek,B+,1.59,69,University of Florida (UF),Master,M.D.,Magician
17-21/46,Octavio H,Other,config2076@gmail.com,29-Sep,Spanish,Hebrew,A−,1.77,75,"University of California, Berkeley (UC Berkeley)",Bachelor,Dr.,Housekeeper
29-74/98,Jessie L,Female,calls1912@yandex.com,13-Nov,Canadian,Azeri,AB+,1.69,43,Middle Georgia State University,Master,Ms.,Polisher
65-21/39,Tommy M,Male,dry1987@yandex.com,19-Apr,Cuban,Kyrgyz,B+,1.72,78,College of Coastal Georgia,Master,D.Ed.,Training Officer
58-61/62,George K,Other,occurred1923@yahoo.com,23-May,Polish,Bosnian,AB+,1.55,52,Florida A&M University (Florida A&M),Bachelor,Mr.,Printer
63-84/02,Kasey R,Male,amendments1902@outlook.com,7-Jul,Swiss,Kannada,B−,1.6,55,Florida Gulf Coast University (FGCU),Bachelor,DPhil,Pig Man
58-22/66,Edison M,Female,reunion1841@duck.com,15-Aug,Argentinian,Bislama,B−,1.71,53,"University of California, Merced (UC Merced)",Master,LL.D,Marketing Agent
14-97/02,Laurence S,Female,eliminate1893@live.com,4-Jan,Japanese,Polish,A+,1.76,71,University of Massachusetts Boston (UMass Boston),Bachelor,M.Eng.,Windscreen Fitter
36-68/99,Noble P,Male,fabulous2008@protonmail.com,15-Apr,Jordanian,Gujarati,B+,1.95,61,Abraham Baldwin Agricultural College,Master,Miss,Machine Setter
14-52/86,Horace M,Female,entertaining1822@yahoo.com,28-May,British,Dhivehi,AB+,1.52,83,University of Massachusetts Lowell (UMass Lowell),Bachelor,Ms.,Technical Co-ordinator
50-53/88,Sherilyn M,Other,jefferson1860@example.org,7-Feb,Dominican,Tajik,AB−,1.89,56,Dalton State College,Master,Mr.,Personnel Officer
18-52/35,Sean H,Female,truck1836@duck.com,13-May,Israeli,Bengali,O−,1.57,87,Georgia Gwinnett College,Master,Master,Military Leader
21-55/95,Jenette C,Female,lease2018@live.com,2-Aug,Estonian,Icelandic,O−,1.76,52,University of Massachusetts Lowell (UMass Lowell),PhD,DPhil,Slater
01-96/87,Theresia C,Other,spectacular1968@outlook.com,26-Sep,British,Gagauz,AB+,1.74,89,Atlanta Metropolitan State College,PhD,Madam,Granite Technician
21-88/00,Emely G,Male,threshold2015@yandex.com,19-Aug,Canadian,Lithuanian,AB+,1.98,53,"California State University, Channel Islands (CSUCI or CI)",PhD,B.E.,Press Officer
91-09/15,Meridith M,Male,iraqi1854@protonmail.com,25-Nov,Belgian,Kashmiri,AB−,1.82,39,"California State University, Fresno (Fresno State)",PhD,LL.D,Textile Technician
27-67/99,Edyth L,Male,reproduction2097@protonmail.com,12-Jan,Swedish,West Frisian,AB−,1.82,39,Northern Kentucky University (NKU),PhD,Sir,Motor Racing
30-17/09,Amina J,Female,pipe1842@protonmail.com,3-Jul,Portuguese,Nepali,O−,1.55,79,University of Massachusetts Dartmouth (UMass Dartmouth),Bachelor,Mrs.,Masseur
40-52/20,Jules M,Male,legacy1840@yahoo.com,19-Aug,Latvian,Dari,O+,1.85,66,"University of California, Santa Cruz (UC Santa Cruz)",Master,Mr.,Branch Manager
34-59/45,Elenora B,Other,botswana2099@example.com,31-Oct,British,Swati,AB−,1.88,48,Atlanta Metropolitan State College,PhD,B.E.,Instrument Technician
55-96/64,Zofia B,Female,cage2099@gmail.com,21-Aug,Swiss,Yiddish,B−,1.81,85,Gordon State College,PhD,M.D.,Meteorologist
00-70/59,Letty D,Other,properly1959@live.com,21-Oct,Italian,Dhivehi,AB+,1.52,66,"University of California, San Francisco (UCSF)",Bachelor,PhD,Production Engineer
97-17/84,Zachery H,Male,wisdom1802@duck.com,11-Feb,Swiss,English,AB−,1.93,88,University of Massachusetts Dartmouth (UMass Dartmouth),Master,M.A.,Property Developer
89-10/51,Hiram L,Other,mediawiki1843@example.com,25-Apr,Brazilian,Arabic,B−,1.74,81,"California State University, Chico (Chico State)",Master,M.A.,Psychiatrist
